代码,名字,交易所
AG,银,上海
AL,铝,上海
AU,金,上海
BU,沥青,上海
CU,铜,上海
FU,燃油,上海
HC,轧板,上海
NI,镍,上海
PB,铅,上海
RB,螺纹钢,上海
RU,橡胶,上海
SN,锡,上海
WR,线材,上海
ZN,锌,上海
A,大豆一,大连
B,大豆二,大连
BB,胶合板,大连
C,玉米,大连
CS,玉米淀粉,大连
FB,纤维板,大连
I,铁矿石,大连
J,焦炭,大连
JD,鸡蛋,大连
JM,焦煤,大连
L,聚乙烯,大连
M,豆粕,大连
P,棕榈油,大连
PP,聚丙烯,大连
V,聚氯乙烯,大连
Y,豆油,大连
CF,棉花,郑州
FG,玻璃,郑州
JR,梗稻,郑州
LR,晚籼稻,郑州
MA,甲醇,郑州
OI,菜籽油,郑州
PM,普麦,郑州
RI,早籼稻,郑州
RM,菜籽粕,郑州
RS,油菜籽,郑州
SF,硅铁,郑州
SM,锰硅,郑州
SR,白糖,郑州
TA,PTA,郑州
WH,强麦,郑州
ZC,动力煤,郑州
IF,沪深300,中金
IC,中证500,中金
IH,上证50,中金
T,国债10,中金
TF,国债5,中金
